                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.97729,                0.52236,                0.89553,                0.56803,                0.58974,                 0.5155,                0.21505,                 2.5402,                 1.5311,                 1.7751,              0.0009605,              0.0009605,              0.0009605
                    107,                0.96201,                 0.4983,                0.88734,                0.59183,                 0.5641,                0.49039,                0.20856,                 2.4327,                 1.6078,                 1.6705,              0.0009506,              0.0009506,              0.0009506
                    108,                0.92883,                0.48967,                0.88268,                0.57048,                0.51282,                0.44531,                0.19424,                 2.5195,                 1.6914,                 1.8273,              0.0009407,              0.0009407,              0.0009407
                    109,                0.90888,                0.47877,                0.88962,                0.55703,                0.48375,                0.40742,                0.18747,                 2.5046,                 1.6438,                 1.7841,              0.0009308,              0.0009308,              0.0009308
                    110,                0.93694,                0.50024,                0.88254,                0.53773,                0.46154,                0.41842,                0.17559,                 2.5573,                 1.6656,                 1.7565,              0.0009209,              0.0009209,              0.0009209
                    111,                0.94945,                0.49815,                0.90331,                0.53513,                0.46154,                  0.432,                0.18108,                 2.4555,                 1.8149,                 1.7102,               0.000911,               0.000911,               0.000911
                    112,                 0.9131,                0.49777,                0.88453,                0.57272,                0.41026,                0.40207,                0.16491,                 2.5014,                 1.8593,                  1.754,              0.0009011,              0.0009011,              0.0009011
                    113,                0.97142,                0.50921,                0.87427,                0.55056,                0.48718,                0.44266,                0.19094,                 2.4208,                 1.8894,                 1.7195,              0.0008912,              0.0008912,              0.0008912
                    114,                0.93648,                0.48471,                0.92236,                0.66851,                0.38462,                0.46276,                0.17597,                 2.5484,                 1.9196,                 1.7919,              0.0008813,              0.0008813,              0.0008813
                    115,                 0.9278,                0.51559,                0.89908,                0.57772,                0.52637,                0.49936,                0.19342,                 2.4641,                  1.679,                 1.8005,              0.0008714,              0.0008714,              0.0008714
                    116,                0.92857,                0.49974,                0.89592,                0.53414,                0.61742,                0.52668,                0.20402,                 2.4926,                 1.6069,                 1.8008,              0.0008615,              0.0008615,              0.0008615
                    117,                0.90131,                0.48204,                0.88201,                0.57938,                0.58974,                0.53008,                0.20229,                 2.5712,                 1.6649,                 1.7847,              0.0008516,              0.0008516,              0.0008516
